index,month,day,time,temperature,irradiance,
0,1,1,100,-0.8,0,
1,1,1,200,-0.5,0,
2,1,1,300,-0.8,0,
3,1,1,400,-1.4,0,
4,1,1,500,-1.4,0,
5,1,1,600,-1.7,0,
6,1,1,700,-0.9,0,
7,1,1,800,-1.1,8,
8,1,1,900,0.5,41,
9,1,1,1000,2.2,127,
10,1,1,1100,1.7,37,
11,1,1,1200,-0.1,156,
12,1,1,1300,1.3,147,
13,1,1,1400,1.5,213,
14,1,1,1500,0.8,10,
15,1,1,1600,0.9,37,
16,1,1,1700,0.5,1,
17,1,1,1800,0.2,0,
18,1,1,1900,0,0,
19,1,1,2000,-1.1,0,
20,1,1,2100,-0.6,0,
21,1,1,2200,-0.8,0,
22,1,1,2300,-1.3,0,
23,1,1,2400,-1.9,0,
24,1,2,100,-1.4,0,
25,1,2,200,-1.6,0,
26,1,2,300,-1.4,0,
27,1,2,400,-2.5,0,
28,1,2,500,-2.2,0,
29,1,2,600,-0.4,0,
30,1,2,700,-1.3,0,
31,1,2,800,-0.3,30,
32,1,2,900,0.9,225,
33,1,2,1000,1.5,242,
34,1,2,1100,2.4,341,
35,1,2,1200,3,124,
36,1,2,1300,2.9,257,
37,1,2,1400,3.5,168,
38,1,2,1500,2.8,45,
39,1,2,1600,1.7,18,
40,1,2,1700,0.3,2,
41,1,2,1800,-0.2,0,
42,1,2,1900,-0.3,0,
43,1,2,2000,-0.4,0,
44,1,2,2100,-0.6,0,
45,1,2,2200,-1.2,0,
46,1,2,2300,-0.8,0,
47,1,2,2400,-0.9,0,
48,1,3,100,-1,0,
49,1,3,200,-1.3,0,
50,1,3,300,-1,0,
51,1,3,400,-0.6,0,
52,1,3,500,-0.5,0,
53,1,3,600,-0.7,0,
54,1,3,700,-1.2,0,
55,1,3,800,-0.8,3,
56,1,3,900,-0.8,28,
57,1,3,1000,-0.8,29,
58,1,3,1100,-0.6,35,
59,1,3,1200,-0.1,96,
60,1,3,1300,0,156,
61,1,3,1400,-0.3,68,
