index,month,day,time,temperature,irradiance
0,1,1,100,1.2,0
1,1,1,200,0.6,0
2,1,1,300,0.1,0
3,1,1,400,-0.1,0
4,1,1,500,0.8,0
5,1,1,600,1.7,0
6,1,1,700,1.2,0
7,1,1,800,0.8,7
8,1,1,900,1.2,47
9,1,1,1000,1.8,103
10,1,1,1100,2.3,130
11,1,1,1200,3.3,193
12,1,1,1300,4,201
13,1,1,1400,4.7,165
14,1,1,1500,5.3,214
15,1,1,1600,5,20
16,1,1,1700,4.4,3
17,1,1,1800,2.6,0
18,1,1,1900,3,0
19,1,1,2000,1.9,0
20,1,1,2100,2,0
21,1,1,2200,1.6,0
22,1,1,2300,1.2,0
23,1,1,2400,0.4,0
24,1,2,100,0,0
25,1,2,200,-0.1,0
26,1,2,300,-0.4,0
27,1,2,400,-0.2,0
28,1,2,500,-0.1,0
29,1,2,600,-0.3,0
30,1,2,700,-0.5,0
31,1,2,800,-0.4,11
32,1,2,900,-0.2,65
33,1,2,1000,0.9,99
34,1,2,1100,1.6,163
35,1,2,1200,2.6,187
36,1,2,1300,3.9,319
37,1,2,1400,5,217
38,1,2,1500,6,141
39,1,2,1600,5.4,62
40,1,2,1700,4.8,1
41,1,2,1800,4.2,0
42,1,2,1900,4.1,0
43,1,2,2000,3.2,0
44,1,2,2100,2.6,0
45,1,2,2200,1.7,0
46,1,2,2300,2,0
47,1,2,2400,2,0
48,1,3,100,1.6,0
49,1,3,200,2.5,0
50,1,3,300,3.1,0
51,1,3,400,3.1,0
52,1,3,500,2.7,0
53,1,3,600,2.9,0
54,1,3,700,2.1,0
55,1,3,800,1.7,12
56,1,3,900,1.5,40
57,1,3,1000,3.2,172
58,1,3,1100,4.9,171
59,1,3,1200,6.3,208
60,1,3,1300,7.5,152
61,1,3,1400,8.1,129
62,1,3,1500,8.9,96
63,1,3,1600,8.3,32
64,1,3,1700,7.3,1
65,1,3,1800,6.7,0
66,1,3,1900,6.2,0
67,1,3,2000,12.9,0
68,1,3,2100,15,0
69,1,3,2200,13.8,0
70,1,3,2300,12,0
71,1,3,2400,9.9,0
72,1,4,100,5.8,0
73,1,4,200,5.3,0
74,1,4,300,5.4,0
75,1,4,400,13.1,0
76,1,4,500,12.8,0
77,1,4,600,13,0
78,1,4,700,12,0
79,1,4,800,11.4,15
80,1,4,900,13.1,81
81,1,4,1000,13.7,224
82,1,4,1100,14.9,281
83,1,4,1200,15.1,248
84,1,4,1300,15.4,151
85,1,4,1400,15.4,110
86,1,4,1500,15.2,96
87,1,4,1600,15.3,27
88,1,4,1700,14.8,1
89,1,4,1800,14.6,0
90,1,4,1900,14.3,0
91,1,4,2000,14,0
92,1,4,2100,14,0
93,1,4,2200,14.3,0
94,1,4,2300,14,0
95,1,4,2400,13.9,0
96,1,5,100,14.4,0
97,1,5,200,14,0
98,1,5,300,14,0
99,1,5,400,13,0
100,1,5,500,12.4,0
101,1,5,600,13,0
102,1,5,700,13,0
103,1,5,800,11.2,4
104,1,5,900,10.8,82
105,1,5,1000,10.6,99
106,1,5,1100,10.9,126
107,1,5,1200,11.4,172
108,1,5,1300,11,84
109,1,5,1400,11.4,125
110,1,5,1500,11.8,133
111,1,5,1600,11.4,31
112,1,5,1700,11.3,2
113,1,5,1800,10.8,0
114,1,5,1900,9.1,0
115,1,5,2000,9.5,0
116,1,5,2100,8.6,0
117,1,5,2200,7.5,0
118,1,5,2300,8.1,0
119,1,5,2400,8.1,0
120,1,6,100,7.2,0
121,1,6,200,6.5,0
122,1,6,300,6,0
123,1,6,400,5.7,0
124,1,6,500,5.3,0
125,1,6,600,5.3,0
126,1,6,700,5.1,0
127,1,6,800,4.3,9
128,1,6,900,4.4,70
129,1,6,1000,5.3,150
130,1,6,1100,5.3,89
131,1,6,1200,7.9,399
132,1,6,1300,9.1,428
133,1,6,1400,8.8,198
134,1,6,1500,8.8,76
135,1,6,1600,7.1,23
136,1,6,1700,5.2,3
137,1,6,1800,3.5,0
138,1,6,1900,3.9,0
139,1,6,2000,2.1,0
140,1,6,2100,1.6,0
141,1,6,2200,2.1,0
142,1,6,2300,0.8,0
143,1,6,2400,1,0
144,1,7,100,0.9,0
145,1,7,200,0,0
146,1,7,300,0,0
147,1,7,400,-0.9,0
148,1,7,500,-0.4,0
149,1,7,600,0.1,0
150,1,7,700,0,0
151,1,7,800,-0.7,9
152,1,7,900,0.2,91
153,1,7,1000,0.7,158
154,1,7,1100,0.9,169
155,1,7,1200,1.5,200
156,1,7,1300,1.5,226
157,1,7,1400,2.6,258
158,1,7,1500,3.2,99
159,1,7,1600,4.5,55
160,1,7,1700,3.2,2
161,1,7,1800,2.2,0
162,1,7,1900,2.2,0
163,1,7,2000,1.9,0
164,1,7,2100,1.7,0
165,1,7,2200,1.6,0
166,1,7,2300,1.3,0
167,1,7,2400,1.2,0
168,1,8,100,1,0
169,1,8,200,0.7,0
170,1,8,300,0.5,0
171,1,8,400,-0.1,0
172,1,8,500,-0.1,0
173,1,8,600,1.3,0
174,1,8,700,10.3,0
175,1,8,800,10.8,7
176,1,8,900,11.2,41
177,1,8,1000,10.8,149
178,1,8,1100,10.9,45
179,1,8,1200,11.7,264
180,1,8,1300,12,279
181,1,8,1400,12.1,118
182,1,8,1500,12.4,158
183,1,8,1600,12.6,30
184,1,8,1700,12.8,1
185,1,8,1800,12.7,0
186,1,8,1900,12.6,0
187,1,8,2000,12.4,0
188,1,8,2100,12.1,0
189,1,8,2200,12.2,0
190,1,8,2300,12.4,0
191,1,8,2400,12.3,0
192,1,9,100,12.7,0
193,1,9,200,8.2,0
194,1,9,300,7,0
195,1,9,400,6.8,0
196,1,9,500,7.2,0
197,1,9,600,6.9,0
198,1,9,700,6.8,0
199,1,9,800,7.1,7
200,1,9,900,7.7,43
201,1,9,1000,8.1,42
202,1,9,1100,7.9,100
203,1,9,1200,9,133
204,1,9,1300,9.4,200
205,1,9,1400,10,152
206,1,9,1500,8.7,81
207,1,9,1600,8.5,35
208,1,9,1700,7.5,1
209,1,9,1800,7,0
