month,day,amount,time,Global,diffuse,wind speed,temperature,15 kw power
1,1,1,5,0,0,0,0.3,0
1,1,1,10,0,0,0,0.3,0
1,1,1,15,0,0,0,0.5,0
1,1,1,20,0,0,0,0.1,0
1,1,1,25,0,0,0,0.4,0
1,1,1,30,0,0,0,0.2,0
1,1,1,35,0,0,0,0,0
1,1,1,40,0,0,0.1,-0.5,0
1,1,1,45,0,0,0,-0.7,0
1,1,1,50,0,0,0,-0.6,0
1,1,1,55,0,0,0,-0.8,0
1,1,1,100,0,0,0,-0.8,0
1,1,1,105,0,0,0,-0.8,0
1,1,1,110,0,0,0,-1,0
1,1,1,115,0,0,0,-0.6,0
1,1,1,120,0,0,0,-0.4,0
1,1,1,125,0,0,0,-0.5,0
1,1,1,130,0,0,0,-0.5,0
1,1,1,135,0,0,0,-0.7,0
1,1,1,140,0,0,0,-0.4,0
1,1,1,145,0,0,0,-0.3,0
1,1,1,150,0,0,0,-0.1,0
1,1,1,155,0,0,0,-0.7,0
1,1,1,200,0,0,0,-0.5,0
1,1,1,205,0,0,0,-0.6,0
1,1,1,210,0,0,0,-0.6,0
1,1,1,215,0,0,0,-1,0
1,1,1,220,0,0,0,-1.1,0
1,1,1,225,0,0,0,-1.3,0
1,1,1,230,0,0,0,-1.2,0
1,1,1,235,0,0,0,-1,0
1,1,1,240,0,0,0,-0.9,0
1,1,1,245,0,0,0,-0.9,0
1,1,1,250,0,0,0,-0.8,0
1,1,1,255,0,0,0,-1,0
1,1,1,300,0,0,0,-0.8,0
1,1,1,305,0,0,0,-0.9,0
1,1,1,310,0,0,0,-0.8,0
1,1,1,315,0,0,0,-0.7,0
1,1,1,320,0,0,0,-1,0
1,1,1,325,0,0,0,-1.2,0
1,1,1,330,0,0,0,-1,0
1,1,1,335,0,0,0,-0.9,0
1,1,1,340,0,0,0,-1.2,0
1,1,1,345,0,0,0,-1.3,0
1,1,1,350,0,0,0,-1.4,0
1,1,1,355,0,0,0,-1.4,0
1,1,1,400,0,0,0,-1.4,0
1,1,1,405,0,0,0.1,-1.4,0
1,1,1,410,0,0,0,-1.5,0
1,1,1,415,0,0,0,-1.7,0
1,1,1,420,0,0,0,-1.8,0
1,1,1,425,0,0,0,-1.9,0
1,1,1,430,0,0,0,-2,0
1,1,1,435,0,0,0,-2,0
1,1,1,440,0,0,0,-2,0
1,1,1,445,0,0,0,-2,0
1,1,1,450,0,0,0,-2.1,0
1,1,1,455,0,0,0,-1.4,0
1,1,1,500,0,0,0,-1.4,0
1,1,1,505,0,0,0,-1.5,0
1,1,1,510,0,0,0,-1.7,0
1,1,1,515,0,0,0,-1.8,0
1,1,1,520,0,0,0,-2,0
1,1,1,525,0,0,0,-2,0
1,1,1,530,0,0,0,-1.9,0
1,1,1,535,0,0,0,-1.8,0
1,1,1,540,0,0,0,-1.6,0
1,1,1,545,0,0,0,-2.2,0
1,1,1,550,0,0,0,-2.1,0
1,1,1,555,0,0,0,-1.9,0
1,1,1,600,0,0,0,-1.7,0
1,1,1,605,0,0,0,-1.9,0
1,1,1,610,0,0,0,-1.7,0
1,1,1,615,0,0,0,-1.6,0
1,1,1,620,0,0,0,-1.4,0
1,1,1,625,0,0,0.1,-1.3,0
1,1,1,630,0,0,0,-1.3,0
1,1,1,635,0,0,0,-1.5,0
1,1,1,640,0,0,0.4,-1.6,0
1,1,1,645,0,0,0,-1.4,0
1,1,1,650,0,0,0,-1.3,0
1,1,1,655,0,0,0,-1.3,0
1,1,1,700,0,0,0,-0.9,0
1,1,1,705,0,0,0.1,-1,0
1,1,1,710,0,0,0,-1,0
1,1,1,715,0,0,0,-0.8,0
1,1,1,720,0,0,0,-0.8,0
1,1,1,725,0,0,0,-0.9,0
1,1,1,730,1,1,0,-1,0
1,1,1,735,1,1,0,-0.9,0
1,1,1,740,2,2,0,-0.6,0
1,1,1,745,2,2,0,-0.8,0
1,1,1,750,3,3,0,-0.8,0
1,1,1,755,4,4,0,-0.9,0
1,1,1,800,8,8,0,-1.1,0
1,1,1,805,14,14,0,-1.1,0
1,1,1,810,17,17,0,-1.2,0
1,1,1,815,22,22,0,-1,0
1,1,1,820,28,28,0,-1,0
1,1,1,825,47,47,0,-1,0
1,1,1,830,62,61,0,-0.9,0
1,1,1,835,74,70,0.8,-0.7,51
1,1,1,840,91,90,0.1,-0.6,104
1,1,1,845,87,83,0,-0.4,64
1,1,1,850,74,71,0,0.2,22
1,1,1,855,52,49,0,0.7,0
1,1,1,900,41,41,0,0.5,0
1,1,1,905,56,55,0,0.3,0
1,1,1,910,49,48,0,0.7,0
1,1,1,915,74,74,0.3,0.2,68
1,1,1,920,91,91,0.1,-0.2,225
1,1,1,925,105,104,0.7,-0.4,420
1,1,1,930,104,102,0.1,-0.2,384
1,1,1,935,120,118,0.1,0.2,672
1,1,1,940,215,158,0.6,0.8,2397
1,1,1,945,288,160,0,1.7,4753
1,1,1,950,373,187,0.1,2.3,6378
1,1,1,955,350,220,0,2.2,5844
1,1,1,1000,127,122,0,2.2,1295
1,1,1,1005,90,88,0,2.5,715
1,1,1,1010,68,68,0.3,1.7,471
1,1,1,1015,100,100,0.4,1.8,1013
1,1,1,1020,88,86,0.1,1.8,741
1,1,1,1025,76,76,0,2,590
1,1,1,1030,67,66,0,2.2,417
1,1,1,1035,62,62,0,2.1,365
1,1,1,1040,73,73,0,2,613
1,1,1,1045,83,82,0,2.2,675
1,1,1,1050,70,69,0,1.8,453
1,1,1,1055,49,47,0,1.6,113
1,1,1,1100,37,37,0,1.7,9
1,1,1,1105,33,33,0,1.8,0
1,1,1,1110,32,32,0.3,1.4,3
1,1,1,1115,36,36,0.9,0.7,17
1,1,1,1120,42,42,1.7,-0.4,32
1,1,1,1125,73,73,1.6,-1,66
1,1,1,1130,100,100,1,-0.9,148
1,1,1,1135,116,114,0.5,-0.7,125
1,1,1,1140,118,115,0.6,-0.6,73
1,1,1,1145,80,79,0.8,-0.5,0
1,1,1,1150,74,73,0.4,-0.4,0
1,1,1,1155,112,112,0.1,-0.3,126
1,1,1,1200,156,153,0,-0.1,264
1,1,1,1205,214,203,0.3,-0.1,917
1,1,1,1210,186,176,0.3,0.1,523
1,1,1,1215,149,149,0.2,0,464
1,1,1,1220,171,171,0,0.1,742
1,1,1,1225,242,241,0,0.3,1737
1,1,1,1230,272,248,0.1,0.5,2606
1,1,1,1235,263,253,0.1,0.7,4963
1,1,1,1240,382,283,0.1,0.7,7130
1,1,1,1245,423,223,0.6,1,8630
1,1,1,1250,294,203,0.2,1.2,4887
1,1,1,1255,236,202,0.2,1.3,2892
1,1,1,1300,147,140,0.2,1.3,1554
1,1,1,1305,114,114,0.5,1.2,1279
1,1,1,1310,116,114,0.7,0.8,1173
1,1,1,1315,116,116,0.7,0.7,1292
1,1,1,1320,135,134,0.5,0.7,1579
1,1,1,1325,145,143,0.3,0.9,1670
1,1,1,1330,137,137,0.4,1.1,1679
1,1,1,1335,188,186,0.6,1.1,2352
1,1,1,1340,139,134,1,1.2,1374
1,1,1,1345,119,119,1.1,1.3,1353
1,1,1,1350,224,186,1,1.3,4152
1,1,1,1355,245,220,1.3,1.4,3298
1,1,1,1400,213,201,0.9,1.5,2740
1,1,1,1405,143,140,0.5,1.6,1509
1,1,1,1410,122,121,0.4,1.4,1269
1,1,1,1415,119,118,0.7,1.2,1219
1,1,1,1420,106,106,0.4,1.1,977
1,1,1,1425,118,118,0.3,1.1,1220
1,1,1,1430,120,119,0.2,1.2,1156
1,1,1,1435,97,95,0.2,1.3,762
1,1,1,1440,76,74,0,1.4,406
1,1,1,1445,49,47,0.1,1.5,41
1,1,1,1450,31,29,0.1,1.5,0
1,1,1,1455,14,13,1.1,1.3,0
1,1,1,1500,10,9,0.7,0.8,0
1,1,1,1505,14,14,1.1,0.4,0
1,1,1,1510,49,49,0.3,0.3,93
1,1,1,1515,85,85,0.3,0.4,899
1,1,1,1520,106,105,0,0.6,1134
1,1,1,1525,99,97,0.1,0.9,864
1,1,1,1530,85,84,0.2,1.2,712
1,1,1,1535,69,68,0.6,1.3,378
1,1,1,1540,55,54,0.3,1.2,117
1,1,1,1545,39,38,0.1,1.2,1
1,1,1,1550,34,34,0,1.1,0
1,1,1,1555,32,32,0.3,1,0
1,1,1,1600,37,37,0.4,0.9,28
1,1,1,1605,44,43,0.1,0.9,68
1,1,1,1610,39,39,0.1,0.9,3
1,1,1,1615,32,31,0.8,0.7,0
1,1,1,1620,20,19,0,0.6,0
1,1,1,1625,15,15,0,0.6,0
1,1,1,1630,14,13,0,0.6,0
1,1,1,1635,12,12,0,0.7,0
1,1,1,1640,9,9,0,0.9,0
1,1,1,1645,7,6,0.4,0.7,0
1,1,1,1650,4,4,0.2,0.6,0
1,1,1,1655,2,2,0,0.6,0
1,1,1,1700,1,1,0.1,0.5,0
1,1,1,1705,1,1,0,0.5,0
1,1,1,1710,1,0,0,0.3,0
1,1,1,1715,0,0,0.1,0.3,0
1,1,1,1720,0,0,0,0.3,0
1,1,1,1725,0,0,0,0.4,0
1,1,1,1730,0,0,0,0.4,0
1,1,1,1735,0,0,0,0.3,0
1,1,1,1740,0,0,0,0.3,0
1,1,1,1745,0,0,0,0.2,0
1,1,1,1750,0,0,0,0.3,0
1,1,1,1755,0,0,0,0.3,0
1,1,1,1800,0,0,0,0.2,0
1,1,1,1805,0,0,0,0.1,0
1,1,1,1810,0,0,0.2,0.2,0
1,1,1,1815,0,0,0.1,0.1,0
1,1,1,1820,0,0,0.1,0.1,0
1,1,1,1825,0,0,0,0.2,0
1,1,1,1830,0,0,0.1,0.1,0
1,1,1,1835,0,0,0.3,0,0
1,1,1,1840,0,0,0,-0.2,0
1,1,1,1845,0,0,0,-0.2,0
1,1,1,1850,0,0,0,-0.3,0
1,1,1,1855,0,0,0.3,-0.1,0
1,1,1,1900,0,0,0,0,0
1,1,1,1905,0,0,0,-0.1,0
1,1,1,1910,0,0,0,-0.1,0
1,1,1,1915,0,0,0,-0.1,0
1,1,1,1920,0,0,0,-0.3,0
1,1,1,1925,0,0,0.1,-0.4,0
1,1,1,1930,0,0,0,-0.4,0
1,1,1,1935,0,0,0,-0.4,0
1,1,1,1940,0,0,0,-0.2,0
1,1,1,1945,0,0,0,-0.8,0
1,1,1,1950,0,0,0,-0.7,0
1,1,1,1955,0,0,0,-0.9,0
1,1,1,2000,0,0,0,-1.1,0
1,1,1,2005,0,0,0,-0.8,0
1,1,1,2010,0,0,0,-0.9,0
1,1,1,2015,0,0,0,-1.1,0
1,1,1,2020,0,0,0,-1.2,0
1,1,1,2025,0,0,0,-1.2,0
1,1,1,2030,0,0,0.4,-1.1,0
